mac,ip,hostname,tipo_evento,conf_confiavel,dns_qtd,zabbix_uptime,zabbix_ping,zabbix_latencia,zabbix_perda,timestamp
8E:A7:69:77:00:00,192.168.1.115,Desconhecido,ARP,False,31,,,,,2025-07-04T08:24:12.125613-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:24:14.396700-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:24:24.394593-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:24:34.399521-03:00
8C:85:90:49:3D:EA,192.168.1.108,Desconhecido,ARP,False,31,,,,,2025-07-04T08:24:40.926307-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:24:44.403107-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:24:54.397218-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:04.395843-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:14.400675-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:24.399165-03:00
8C:85:90:49:3D:EA,192.168.1.108,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:32.120853-03:00
8E:A7:69:77:00:00,0.0.0.0,Watch,DHCP,False,0,,,,,2025-07-04T08:25:33.466723-03:00
8E:A7:69:77:00:00,192.168.1.115,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:33.514332-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:34.402920-03:00
8E:A7:69:77:00:00,192.168.1.115,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:34.802917-03:00
8E:A7:69:77:00:00,192.168.1.115,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:35.128846-03:00
8E:A7:69:77:00:00,192.168.1.115,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:35.481622-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:44.400696-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:25:54.453313-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:26:04.398242-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:26:14.408133-03:00
8C:85:90:49:3D:EA,192.168.1.108,Desconhecido,ARP,False,31,,,,,2025-07-04T08:26:23.303845-03:00
50:02:91:00:35:C9,192.168.1.100,Desconhecido,ARP,False,31,,,,,2025-07-04T08:26:24.396509-03:00
5C:CD:5B:C5:4E:C8,0.0.0.0,NELONOTE150,DHCP,False,0,,,,,2025-07-04T08:26:27.747460-03:00
5C:CD:5B:C5:4E:C8,0.0.0.0,Desconhecido,ARP,False,0,,,,,2025-07-04T08:26:28.081887-03:00
5C:CD:5B:C5:4E:C8,0.0.0.0,Desconhecido,ARP,False,0,,,,,2025-07-04T08:26:29.074812-03:00
5C:CD:5B:C5:4E:C8,0.0.0.0,Desconhecido,ARP,False,0,,,,,2025-07-04T08:26:30.083551-03:00
8E:A7:69:77:00:00,0.0.0.0,Watch,DHCP,False,0,,,,,2025-07-04T08:26:30.857054-03:00
8E:A7:69:77:00:00,192.168.1.115,Desconhecido,ARP,False,31,,,,,2025-07-04T08:26:30.889954-03:00
5C:CD:5B:C5:4E:C8,169.254.174.99,Desconhecido,ARP,False,0,,,,,2025-07-04T08:26:31.071742-03:00
